"Date","Team","Acquired","Relinquished","Notes"
"2021-05-11","Nuggets","• Zeke Nnaji","","activated from IL"
"2021-05-11","Pacers","","• Aaron Holiday","right big toe injury (out for season)"
"2021-05-11","Pacers","","• Edmond Sumner","placed on IL with bruised left knee (out for season)"
"2021-05-11","Pacers","• JaKarr Sampson","","activated from IL"
"2021-05-11","Pistons","","• Frank Jackson","placed on IL with sprained right ankle (out for season)"
"2021-05-11","Pistons","• Josh Jackson","","activated from IL"
"2021-05-11","Raptors","• Chris Boucher","","activated from IL"
"2021-05-11","Thunder","","• Josh Hall","right groin injury (DTD)"
"2021-05-11","Timberwolves","• Juancho Hernangomez / Juan Hernangomez","","returned to lineup"
"2021-05-12","Blazers","","• Nassir Little","placed on IL with back spasms"
"2021-05-12","Celtics","","• Kemba Walker","placed on IL with left knee injury"
"2021-05-12","Celtics","","• Marcus Smart","placed on IL with bruised right calf (out for season)"
"2021-05-12","Hawks","• Tony Snell","","activated from IL"
"2021-05-12","Heat","","• Victor Oladipo","placed on IL with right quadricep injury (out for season)"
"2021-05-09","Pistons","","• Jerami Grant","sore right knee (out for season)"
"2021-05-09","Pistons","","• Wayne Ellington","calf injury (out for season)"
"2021-05-09","Raptors","","• Rodney Hood","fractured left hand (out for season)"
"2021-05-09","Rockets","","• Sterling Brown","placed on IL with facial injury (out for season)"
"2021-05-09","Thunder","","• Luguentz Dort","placed on IL with patellar tendinitis in right knee (out for season)"
"2021-05-09","Thunder","• Aleksej Pokusevski","","activated from IL"
"2021-05-09","Timberwolves","","• Juancho Hernangomez / Juan Hernangomez","bruised left quadricep (DTD)"
"2021-05-09","Wizards","","• Bradley Beal","placed on IL with strained left hamstring"
"2021-05-10","76ers","","• Matisse Thybulle","placed on IL with sore left hand"
"2021-05-10","76ers","• Ben Simmons","","activated from IL"
"2021-05-10","76ers","• Seth Curry","","activated from IL"
"2021-05-10","Cavaliers","","• Kevin Love","right calf injury (DTD)"
"2021-05-10","Celtics","","• Jaylen Brown","placed on IL with left wrist injury (out for season)"
"2021-05-10","Hawks","","• Tony Snell","placed on IL with right Achilles injury"
"2021-05-10","Hawks","• De'Andre Hunter","","activated from IL"
"2021-05-10","Nuggets","• Aaron Gordon","","returned to lineup"
"2021-05-10","Raptors","","• Pascal Siakam","placed on IL with strained left shoulder (out for season)"
"2021-05-10","Rockets","• Kelly Olynyk","","returned to lineup"
"2021-05-10","Thunder","","• Theo Maledon","placed on IL with left foot injury"
"2021-05-11","76ers","","• Joel Embiid","placed on IL with illness"
"2021-05-11","76ers","","• Shake Milton","right knee injury (DTD)"
"2021-05-11","Blazers","• Carmelo Anthony","","activated from IL"
"2021-05-11","Bulls","• Daniel Theis","","activated from IL"
