"Date","Team","Acquired","Relinquished","Notes"
"2021-03-14","Jazz","• Trent Forrest","","returned to lineup"
"2021-03-14","Magic","","• Evan Fournier","placed on IL with strained left groin"
"2021-03-14","Magic","• Terrence Ross","","returned to lineup"
"2021-03-14","Thunder","","• Luguentz Dort","left big toe injury (DTD)"
"2021-03-14","Thunder","","• Sviatoslav Mykhailiuk / Svi Mykhailiuk","placed on IL with NBA health and safety protocols"
"2021-03-14","Thunder","","• Theo Maledon","sprained right ankle (DTD)"
"2021-03-14","Thunder","• Shai Gilgeous-Alexander","","activated from IL"
"2021-03-14","Timberwolves","","• Jaden McDaniels","NBA health and safety protocols (DTD)"
"2021-03-14","Wizards","• Bradley Beal","","returned to lineup"
"2021-03-11","Timberwolves","","• Jarrett Culver","left big toe injury (DTD)"
"2021-03-12","76ers","• Joel Embiid","","activated from IL"
"2021-03-12","Cavaliers","","• Darius Garland","placed on IL with strained left groin"
"2021-03-12","Cavaliers","","• Taurean Prince","placed on IL with left shoulder injury"
"2021-03-12","Cavaliers","• Kevin Love","","activated from IL"
"2021-03-12","Jazz","","• Trent Forrest","illness (DTD)"
"2021-03-12","Lakers","","• Jared Dudley","placed on IL with right knee injury"
"2021-03-12","Lakers","• LeBron James","","activated from IL"
"2021-03-12","Magic","","• Aaron Gordon","left ankle injury (DTD)"
"2021-03-12","Nuggets","","• JaMychal Green","placed on IL with stomach illness"
"2021-03-12","Nuggets","","• Zeke Nnaji","stomach illness (DTD)"
"2021-03-12","Nuggets","• Markus Howard","","activated from IL"
"2021-03-12","Nuggets","• Paul Millsap","","activated from IL"
"2021-03-12","Pistons","","• Dennis Smith Jr.","NBA health and safety protocols (DTD)"
"2021-03-12","Rockets","","• Eric Gordon","placed on IL with strained right groin (out for season)"
"2021-03-12","Rockets","","• P.J. Tucker","placed on IL with NBA health and safety protocols"
"2021-03-12","Rockets","","• Victor Oladipo","right quadricep injury (DTD)"
"2021-03-12","Rockets","• David Nwaba","","returned to lineup"
"2021-03-12","Thunder","","• Shai Gilgeous-Alexander","placed on IL with bruised left quadricep"
"2021-03-13","76ers","","• Joel Embiid","placed on IL with bone bruise in left knee"
"2021-03-13","Bucks","• Jordan Nwora","","activated from IL"
"2021-03-13","Bulls","","• Garrett Temple","placed on IL with sprained left ankle"
"2021-03-13","Cavaliers","","• Matthew Dellavedova","placed on IL with appendectomy"
"2021-03-13","Clippers","","• Patrick Beverley","placed on IL with sore right knee"
"2021-03-13","Knicks","","• Elfrid Payton","placed on IL with right hamstring injury"
"2021-03-11","Bulls","• Lauri Markkanen","","activated from IL"
"2021-03-11","Bulls","• Otto Porter Jr.","","activated from IL"
"2021-03-11","Cavaliers","• Larry Nance Jr.","","activated from IL"
"2021-03-11","Celtics","","• Romeo Langford","placed on IL with NBA health and safety protocols"
"2021-03-11","Clippers","• Paul George","","returned to lineup"
"2021-03-11","Grizzlies","• Grayson Allen","","activated from IL"
"2021-03-11","Hornets","• Devonte' Graham","","returned to lineup"
"2021-03-11","Knicks","• Taj Gibson","","activated from IL"
"2021-03-11","Lakers","","• Kostas Antetokounmpo","placed on IL with NBA health and safety protocols"
"2021-03-11","Lakers","• Alex Caruso","","activated from IL"
"2021-03-11","Magic","","• James Ennis","placed on IL with left calf injury"
"2021-03-11","Magic","","• Terrence Ross","sore left knee (DTD)"
"2021-03-11","Magic","• Aaron Gordon","","activated from IL"
"2021-03-11","Mavericks","","• Kristaps Porzingis","right knee injury (DTD)"
"2021-03-11","Mavericks","","• Luka Doncic","right ankle injury (DTD)"
"2021-03-11","Nets","• Jeff Green","","activated from IL"
"2021-03-11","Nuggets","• Facundo Campazzo","","activated from IL"
"2021-03-11","Pelicans","","• J.J. Redick","placed on IL with right heel injury"
"2021-03-11","Pelicans","• Zion Williamson","","returned to lineup"
"2021-03-11","Pistons","• Delon Wright","","activated from IL"
"2021-03-11","Rockets","","• John Wall (Hildred)","placed on IL with bruised left knee"
"2021-03-11","Rockets","","• Rodions Kurucs","placed on IL with strained left oblique muscle"
"2021-03-11","Rockets","• Eric Gordon","","returned to lineup"
"2021-03-11","Spurs","• Devin Vassell","","activated from IL"
"2021-03-11","Thunder","","• Darius Bazley","placed on IL with left shoulder injury"
"2021-03-05","Pistons","• Blake Griffin","","activated from IL"
"2021-03-10","Celtics","• Marcus Smart","","activated from IL"
"2021-03-10","Clippers","• Marcus Morris","","returned to lineup"
"2021-03-10","Hawks","• Clint Capela","","activated from IL"
"2021-03-10","Hornets","• Cody Zeller","","returned to lineup"
"2021-03-10","Kings","• Jabari Parker","","returned to lineup"
"2021-03-10","Kings","• Tyrese Haliburton","","activated from IL"
"2021-03-10","Mavericks","","• Tyrell Terry","illness (DTD)"
"2021-03-10","Mavericks","• Luka Doncic","","activated from IL"
"2021-03-10","Nets","","• Blake Griffin","placed on IL with left knee injury"
"2021-03-10","Pistons","• Frank Jackson","","activated from IL"
"2021-03-10","Pistons","• Jerami Grant","","activated from IL"
"2021-03-10","Pistons","• Josh Jackson","","returned to lineup"
"2021-03-10","Spurs","","• Devin Vassell","conditioning (DTD)"
"2021-03-10","Spurs","","• LaMarcus Aldridge","placed on IL with NBA health and safety protocols"
"2021-03-10","Spurs","• Derrick White","","activated from IL"
"2021-03-10","Spurs","• Rudy Gay","","activated from IL"
"2021-03-10","Timberwolves","","• Jordan McLaughlin","placed on IL with NBA health and safety protocols"
"2021-03-10","Warriors","• Draymond Green","","activated from IL"
"2021-03-10","Warriors","• Kelly Oubre Jr.","","activated from IL"
"2021-03-11","76ers","","• Ben Simmons","placed on IL with NBA health and safety protocols"
"2021-03-11","76ers","","• Joel Embiid","placed on IL with NBA health and safety protocols"
"2021-03-11","Bucks","• Mamadi Diakite","","activated from IL"
"2021-03-11","Bulls","","• Chandler Hutchison","placed on IL with right leg injury"
"2021-03-11","Bulls","• Chandler Hutchison","","activated from IL"
"2021-03-03","Lakers","","• Alex Caruso","placed on IL with neck spasms"
"2021-03-03","Lakers","","• LeBron James","placed on IL with sore left ankle"
"2021-03-03","Lakers","• Kyle Kuzma","","returned to lineup"
"2021-03-03","Magic","","• Evan Fournier","strained left groin (DTD)"
"2021-03-03","Mavericks","","• Luka Doncic","placed on IL with tightness in lower back"
"2021-03-03","Pacers","• Jeremy Lamb","","returned to lineup"
"2021-03-03","Pistons","","• Jerami Grant","placed on IL with bruised left quadricep"
"2021-03-03","Pistons","","• Josh Jackson","illness (DTD)"
"2021-03-03","Rockets","","• Danuel House","bruised right knee (DTD)"
"2021-03-03","Rockets","","• David Nwaba","surgery on right wrist (out indefinitely)"
"2021-03-03","Thunder","• Darius Miller","","activated from IL"
"2021-03-03","Warriors","","• Kelly Oubre Jr.","placed on IL with sprained left wrist"
"2021-03-03","Thunder","","• Josh Hall","placed on IL with sore left knee"
"2021-03-04","Bucks","","• Mamadi Diakite","NBA health and safety protocols (DTD)"
"2021-03-04","Clippers","","• Marcus Morris","concussion (DTD)"
"2021-03-04","Clippers","","• Paul George","dizziness (DTD)"
"2021-03-04","Clippers","• Kawhi Leonard","","returned to lineup"
"2021-03-04","Heat","","• Edrice Adebayo / Bam Adebayo","left knee tendinitis (DTD)"
"2021-03-04","Heat","• Jimmy Butler","","returned to lineup"
"2021-03-04","Knicks","• Elfrid Payton","","activated from IL"
"2021-03-04","Pelicans","","• J.J. Redick","right heel injury (DTD)"
"2021-03-04","Pelicans","","• Zion Williamson","toe injury (DTD)"
"2021-03-04","Suns","","• Cameron Johnson","placed on IL with NBA health and safety protocols"
"2021-03-04","Warriors","","• Draymond Green","placed on IL with sore left ankle"
"2021-03-04","Bucks","• Jaylen Adams","","activated from IL"
"2021-03-01","Spurs","","• Keldon Johnson","placed on IL with conditioning"
"2021-03-01","Bulls","","• Devon Dotson","sprained right knee (DTD)"
"2021-03-01","Cavaliers","","• Taurean Prince","sore left ankle (DTD)"
"2021-03-01","Kings","","• Robert Woodard II","strained left hamstring (DTD)"
"2021-03-02","Celtics","• Jaylen Brown","","activated from IL"
"2021-03-02","Clippers","","• Kawhi Leonard","back spasms (DTD)"
"2021-03-02","Grizzlies","","• Kyle Anderson","placed on IL with illness"
"2021-03-02","Hawks","• Bogdan Bogdanovic","","activated from IL"
"2021-03-02","Knicks","","• Derrick Rose","placed on IL with NBA health and safety protocols"
"2021-03-02","Lakers","","• Kyle Kuzma","bruised right heel (DTD)"
"2021-03-02","Lakers","","• Marc Gasol","placed on IL with NBA health and safety protocols"
"2021-03-02","Raptors","","• Fred VanVleet","placed on IL with NBA health and safety protocols"
"2021-03-02","Raptors","","• Malachi Flynn","placed on IL with NBA health and safety protocols"
"2021-03-02","Raptors","","• Ogugua Anunoby / O.G. Anunoby","placed on IL with NBA health and safety protocols"
"2021-03-02","Raptors","","• Patrick McCaw","placed on IL with NBA health and safety protocols"
"2021-03-02","Spurs","","• Derrick White","placed on IL with NBA health and safety protocols"
"2021-03-02","Spurs","","• LaMarcus Aldridge","illness (DTD)"
"2021-03-02","Spurs","• Keldon Johnson","","activated from IL"
"2021-03-02","Spurs","• Quinndary Weatherspoon","","activated from IL"
"2021-03-03","76ers","• Tobias Harris","","activated from IL"
"2021-03-03","Cavaliers","• Taurean Prince","","returned to lineup"
"2021-03-03","Grizzlies","• Kyle Anderson","","activated from IL"
"2021-03-03","Hawks","","• Clint Capela","placed on IL with right foot injury"
"2021-03-03","Hornets","","• P.J. Washington","sprained right ankle (DTD)"
"2021-03-03","Hornets","• Gordon Hayward","","returned to lineup"
"2021-02-28","Grizzlies","• Justise Winslow","","activated from IL"
"2021-02-28","Grizzlies","• Killian Tillie","","activated from IL"
"2021-02-28","Heat","","• Jimmy Butler","right knee inflammation (DTD)"
"2021-02-28","Heat","• Tyler Herro","","returned to lineup"
"2021-02-28","Hornets","","• Gordon Hayward","right hand injury (DTD)"
"2021-02-28","Hornets","• Caleb Martin","","returned to lineup"
"2021-02-28","Jazz","• Mike Conley Jr.","","activated from IL"
"2021-02-28","Knicks","","• Taj Gibson","placed on IL with sprained left ankle"
"2021-02-28","Nuggets","","• R.J. Hampton","placed on IL with NBA health and safety protocols"
"2021-02-28","Suns","• Dario Saric","","returned to lineup"
"2021-03-01","Cavaliers","• Cedi Osman","","returned to lineup"
"2021-03-01","Nets","","• Jeff Green","placed on IL with right shoulder injury"
"2021-03-01","Nets","","• Timothe Luwawu-Cabarrot","placed on IL with sore right knee"
"2021-03-01","Nets","• Kyrie Irving","","activated from IL"
"2021-03-01","Nets","• Tyler Johnson","","returned to lineup"
"2021-03-01","Nuggets","","• Facundo Campazzo","placed on IL with NBA health and safety protocols"
"2021-03-01","Nuggets","","• Markus Howard","placed on IL with NBA health and safety protocols"
"2021-03-01","Nuggets","• JaMychal Green","","activated from IL"
"2021-03-01","Pacers","","• Jeremy Lamb","sore left knee (DTD)"
"2021-03-01","Pacers","• Malcolm Brogdon","","returned to lineup"
"2021-03-01","Pelicans","• J.J. Redick","","returned to lineup"
"2021-03-01","Rockets","","• David Nwaba","right wrist injury (DTD)"
"2021-03-01","Rockets","","• Eric Gordon","sore left knee (DTD)"
"2021-03-01","Rockets","","• Rodions Kurucs","strained left oblique muscle (DTD)"
"2021-03-01","Rockets","• Victor Oladipo","","returned to lineup"
"2021-02-26","Kings","• Jabari Parker","","activated from IL"
"2021-02-26","Lakers","• Dennis Schröder","","activated from IL"
"2021-02-26","Magic","","• James Ennis","left calf injury (DTD)"
"2021-02-26","Pacers","","• JaKarr Sampson","NBA health and safety protocols (DTD)"
"2021-02-26","Pistons","","• Frank Jackson","placed on IL with illness"
"2021-02-26","Pistons","• Jerami Grant","","activated from IL"
"2021-02-26","Raptors","","• Pascal Siakam","placed on IL with NBA health and safety protocols"
"2021-02-26","Suns","","• Dario Saric","sprained right ankle (DTD)"
"2021-02-27","Cavaliers","","• Cedi Osman","back spasms (DTD)"
"2021-02-27","Grizzlies","","• Grayson Allen","placed on IL with concussion"
"2021-02-27","Jazz","","• Mike Conley Jr.","placed on IL with right hamstring injury"
"2021-02-27","Mavericks","• Kristaps Porzingis","","activated from IL"
"2021-02-27","Nets","","• Kyrie Irving","placed on IL with right shoulder injury"
"2021-02-27","Nets","","• Tyler Johnson","migraine headache (DTD)"
"2021-02-27","Nets","• Jeff Green","","returned to lineup"
"2021-02-27","Nuggets","• P.J. Dozier","","activated from IL"
"2021-02-27","Pacers","","• Malcolm Brogdon","sore right knee (DTD)"
"2021-02-27","Pacers","• JaKarr Sampson","","returned to lineup"
"2021-02-27","Pelicans","","• J.J. Redick","right hamstring injury (DTD)"
"2021-02-27","Rockets","","• Victor Oladipo","right quadricep injury (DTD)"
"2021-02-27","Thunder","","• Darius Miller","placed on IL with stomach illness"
"2021-02-27","Wizards","• Davis Bertans","","returned to lineup"
"2021-02-27","Spurs","","• Quinndary Weatherspoon","placed on IL for conditioning"
"2021-02-28","Bucks","• Jrue Holiday","","activated from IL"
"2021-02-28","Celtics","","• Jaylen Brown","placed on IL with sore left knee"
"2021-02-24","Kings","","• Hassan Whiteside","placed on IL with NBA health and safety protocols"
"2021-02-24","Knicks","• Austin Rivers","","activated from IL"
"2021-02-24","Pelicans","• Steven Adams","","returned to lineup"
"2021-02-24","Pistons","","• Jerami Grant","placed on IL"
"2021-02-24","Raptors","• Kyle Lowry","","activated from IL"
"2021-02-24","Spurs","","• Devin Vassell","placed on IL with NBA health and safety protocols"
"2021-02-24","Spurs","","• Rudy Gay","placed on IL with NBA health and safety protocols"
"2021-02-24","Spurs","• LaMarcus Aldridge","","activated from IL"
"2021-02-24","Timberwolves","• Jarrett Culver","","activated from IL"
"2021-02-24","Bulls","• Adam Mokoka","","activated from IL"
"2021-02-24","Kings","• Glenn Robinson III","","activated from IL"
"2021-02-25","76ers","• Seth Curry","","activated from IL"
"2021-02-25","Grizzlies","• Dillon Brooks","","activated from IL"
"2021-02-25","Kings","","• Jabari Parker","placed on IL with NBA health and safety protocols"
"2021-02-25","Knicks","","• Elfrid Payton","placed on IL with right hamstring injury"
"2021-02-25","Mavericks","• Maximilian Kleber / Maxi Kleber","","returned to lineup"
"2021-02-25","Nets","• Timothe Luwawu-Cabarrot","","activated from IL"
"2021-02-25","Nuggets","• Greg Whittington","","returned to lineup"
"2021-02-25","Thunder","","• Hamidou Diallo","placed on IL with sore right groin"
"2021-02-25","Wizards","","• Davis Bertans","sore right knee (DTD)"
"2021-02-26","76ers","","• Tobias Harris","placed on IL with bruised right knee"
"2021-02-26","Celtics","• Kemba Walker","","activated from IL"
"2021-02-26","Grizzlies","","• Justise Winslow","placed on IL with left hip injury"
"2021-02-26","Hornets","","• Cody Zeller","bruised left hip (DTD)"
"2021-02-26","Kings","","• Tyrese Haliburton","placed on IL with sore left calf"
"2021-02-22","Rockets","","• DeMarcus Cousins","placed on IL with sore right heel"
"2021-02-22","Rockets","• P.J. Tucker","","returned to lineup"
"2021-02-22","Spurs","","• Derrick White","NBA health and safety protocols (DTD)"
"2021-02-22","Spurs","","• Devin Vassell","NBA health and safety protocols (DTD)"
"2021-02-22","Spurs","","• Keldon Johnson","placed on IL with NBA health and safety protocols"
"2021-02-22","Spurs","","• Rudy Gay","NBA health and safety protocols (DTD)"
"2021-02-23","76ers","","• Seth Curry","placed on IL with sore left ankle"
"2021-02-23","Hawks","","• Cameron Reddish / Cam Reddish","sore right Achilles (DTD)"
"2021-02-23","Hawks","• Rajon Rondo","","activated from IL"
"2021-02-23","Kings","• Harrison Barnes","","activated from IL"
"2021-02-23","Mavericks","","• Maximilian Kleber / Maxi Kleber","sprained left ankle (DTD)"
"2021-02-23","Mavericks","","• Tyrell Terry","placed on IL"
"2021-02-23","Nets","","• Jeff Green","bruised right shoulder (DTD)"
"2021-02-23","Nets","","• Timothe Luwawu-Cabarrot","placed on IL with bruised right hip"
"2021-02-23","Nets","• Tyler Johnson","","activated from IL"
"2021-02-23","Warriors","• James Wiseman","","returned to lineup"
"2021-02-23","Warriors","• Kevon Looney","","returned to lineup"
"2021-02-23","Warriors","• Stephen Curry","","returned to lineup"
"2021-02-23","Nets","• Iman Shumpert","","activated from IL"
"2021-02-23","Rockets","• DeMarcus Cousins","","activated from IL"
"2021-02-24","Cavaliers","• Taurean Prince","","returned to lineup"
"2021-02-24","Celtics","","• Kemba Walker","placed on IL with left knee injury"
"2021-02-24","Heat","","• Avery Bradley","placed on IL with bruised right knee"
"2021-02-24","Heat","• Chris Silva","","activated from IL"
"2021-02-24","Heat","• Goran Dragic","","returned to lineup"
"2021-02-19","Warriors","• Draymond Green","","returned to lineup"
"2021-02-20","Bulls","• Adam Mokoka","","activated from IL"
"2021-02-20","Grizzlies","","• Brandon Clarke","placed on IL with right calf injury"
"2021-02-20","Grizzlies","• Justise Winslow","","activated from IL"
"2021-02-20","Hornets","• Cody Martin","","returned to lineup"
"2021-02-20","Hornets","• Gordon Hayward","","returned to lineup"
"2021-02-20","Hornets","• P.J. Washington","","returned to lineup"
"2021-02-20","Kings","","• Glenn Robinson III","placed on IL with right knee injury"
"2021-02-20","Lakers","• Kostas Antetokounmpo","","activated from IL"
"2021-02-20","Warriors","","• Stephen Curry","illness (DTD)"
"2021-02-21","76ers","• Ben Simmons","","activated from IL"
"2021-02-21","76ers","• Shake Milton","","activated from IL"
"2021-02-21","Grizzlies","• Brandon Clarke","","activated from IL"
"2021-02-21","Kings","• Richaun Holmes","","returned to lineup"
"2021-02-21","Knicks","","• Austin Rivers","placed on IL with illness"
"2021-02-21","Nets","","• Tyler Johnson","placed on IL with strained left adductor"
"2021-02-21","Nets","• Nicolas Claxton","","returned to lineup"
"2021-02-21","Nuggets","","• JaMychal Green","placed on IL with sprained left shoulder"
"2021-02-21","Pistons","","• Delon Wright","placed on IL with strained right groin"
"2021-02-21","Pistons","• Frank Jackson","","activated from IL"
"2021-02-21","Raptors","• Ogugua Anunoby / O.G. Anunoby","","returned to lineup"
"2021-02-22","Bulls","","• Adam Mokoka","placed on IL with NBA health and safety protocols"
"2021-02-22","Heat","","• Tyler Herro","bruised right hip / right hip pointer (DTD)"
"2021-02-22","Mavericks","","• Kristaps Porzingis","placed on IL with tightness in lower back / sore lower back"
"2021-02-22","Mavericks","• Tyrell Terry","","activated from IL"
"2021-02-18","Kings","","• Chimezie Metu","placed on IL with fractured right wrist"
"2021-02-18","Lakers","","• Dennis Schröder","placed on IL with health and safety protocols / COVID-19"
"2021-02-18","Nuggets","","• Gary Harris","placed on IL with strained left adductor"
"2021-02-18","Raptors","","• Kyle Lowry","placed on IL with sprained left thumb / sore left ankle"
"2021-02-18","Raptors","• Yuta Watanabe","","activated from IL"
"2021-02-19","Bucks","","• Jaylen Adams","placed on IL with COVID-19"
"2021-02-19","Bulls","","• Adam Mokoka","placed on IL with NBA health and safety protocols"
"2021-02-19","Cavaliers","• Dylan Windler","","returned to lineup"
"2021-02-19","Celtics","• Kemba Walker","","activated from IL"
"2021-02-19","Clippers","• Kawhi Leonard","","activated from IL"
"2021-02-19","Clippers","• Nicolas Batum","","activated from IL"
"2021-02-19","Clippers","• Paul George","","activated from IL"
"2021-02-19","Grizzlies","","• Dillon Brooks","placed on IL with sore right thigh"
"2021-02-19","Grizzlies","• De'Anthony Melton","","returned to lineup"
"2021-02-19","Hawks","","• Nathan Knight","back injury (DTD)"
"2021-02-19","Hornets","","• Devonte' Graham","sore left knee (DTD)"
"2021-02-19","Jazz","• Mike Conley Jr.","","activated from IL"
"2021-02-19","Magic","• James Ennis","","returned to lineup"
"2021-02-19","Nuggets","","• JaMychal Green","sprained left shoulder (DTD)"
"2021-02-19","Pelicans","","• Steven Adams","right ankle injury (DTD)"
"2021-02-19","Pistons","","• Delon Wright","strained right groin (DTD)"
"2021-02-19","Pistons","","• Saben Lee","undisclosed (DTD)"
"2021-02-19","Pistons","• Sekou Doumbouya","","activated from IL"
"2021-02-19","Raptors","","• Ogugua Anunoby / O.G. Anunoby","left calf injury (DTD)"
"2021-02-19","Raptors","• Patrick McCaw","","activated from IL"
"2021-02-16","Nets","","• Kyrie Irving","placed on IL with tightness in lower back"
"2021-02-16","Nuggets","","• Monte Morris","strained right shoulder (DTD)"
"2021-02-16","Raptors","• Ogugua Anunoby / O.G. Anunoby","","activated from IL"
"2021-02-16","Thunder","• Theo Maledon","","returned to lineup"
"2021-02-16","Timberwolves","","• D'Angelo Russell","surgery on left knee (out indefinitely)"
"2021-02-17","76ers","","• Ben Simmons","placed on IL with illness"
"2021-02-17","76ers","• Joel Embiid","","returned to lineup"
"2021-02-17","Blazers","• Rodney Hood","","activated from IL"
"2021-02-17","Bulls","• Adam Mokoka","","activated from IL"
"2021-02-17","Celtics","","• Kemba Walker","placed on IL with left knee injury"
"2021-02-17","Clippers","","• Luke Kennard","sore right knee (DTD)"
"2021-02-17","Hawks","• Tony Snell","","activated from IL"
"2021-02-17","Kings","","• Harrison Barnes","placed on IL with left foot injury"
"2021-02-17","Knicks","• Frank Ntilikina","","activated from IL"
"2021-02-17","Magic","• Al-Farouq Aminu","","returned to lineup"
"2021-02-17","Magic","• Evan Fournier","","activated from IL"
"2021-02-17","Nets","• Kyrie Irving","","activated from IL"
"2021-02-17","Nuggets","• Gary Harris","","activated from IL"
"2021-02-17","Nuggets","• Monte Morris","","returned to lineup"
"2021-02-17","Pacers","• Doug McDermott","","returned to lineup"
"2021-02-17","Rockets","• Eric Gordon","","returned to lineup"
"2021-02-17","Rockets","• Victor Oladipo","","activated from IL"
"2021-02-17","Thunder","• Shai Gilgeous-Alexander","","returned to lineup"
"2021-02-17","Warriors","","• Draymond Green","sore right ankle (DTD)"
"2021-02-18","Celtics","• Daniel Theis","","activated from IL"
"2021-02-14","Pistons","• Mason Plumlee","","activated from IL"
"2021-02-14","Suns","","• Jalen Smith","placed on IL with NBA health and safety protocols"
"2021-02-14","Wizards","","• Anthony Gill","placed on IL with gastroenteritis"
"2021-02-15","76ers","","• Joel Embiid","back injury (DTD)"
"2021-02-15","Blazers","","• Harry Giles","placed on IL with strained left calf"
"2021-02-15","Bulls","","• Adam Mokoka","placed on IL with NBA health and safety protocols"
"2021-02-15","Bulls","• Wendell Carter Jr.","","activated from IL"
"2021-02-15","Cavaliers","","• Dylan Windler","sore left knee (DTD)"
"2021-02-15","Cavaliers","","• Taurean Prince","sore left ankle (DTD)"
"2021-02-15","Clippers","","• Daniel Oturu","strained right quadriceps (DTD)"
"2021-02-15","Clippers","","• Nicolas Batum","placed on IL with concussion"
"2021-02-15","Kings","","• Richaun Holmes","sore right knee (DTD)"
"2021-02-15","Kings","• Marvin Bagley III","","returned to lineup"
"2021-02-15","Lakers","","• Anthony Davis","placed on IL with strained right calf / Achilles"
"2021-02-15","Nuggets","","• Paul Millsap","placed on IL with sprained left knee"
"2021-02-15","Pacers","","• Doug McDermott","sore right knee (DTD)"
"2021-02-15","Rockets","","• Eric Gordon","right groin injury (DTD)"
"2021-02-15","Rockets","","• P.J. Tucker","bruised left quadricep (DTD)"
"2021-02-15","Wizards","• Anthony Gill","","activated from IL"
"2021-02-15","Jazz","• Elijah Hughes","","activated from IL"
"2021-02-15","Magic","• Frank Mason","","activated from IL"
"2021-02-15","Suns","• Jalen Smith","","activated from IL"
"2021-02-16","Celtics","","• Daniel Theis","placed on IL with right index finger injury"
"2021-02-16","Kings","","• Chimezie Metu","fractured right wrist (out indefinitely)"
"2021-02-16","Magic","","• Cole Anthony","placed on IL with rib injury"
"2021-02-12","Spurs","• Derrick White","","activated from IL"
"2021-02-12","Thunder","• Isaiah Roby","","returned to lineup"
"2021-02-12","Bucks","","• Jordan Nwora","sprained left ankle (DTD)"
"2021-02-13","76ers","• (James) Mike Scott","","activated from IL"
"2021-02-13","Hawks","","• Tony Snell","placed on IL with right Achilles injury"
"2021-02-13","Knicks","","• Mitchell Robinson","placed on IL with fractured right hand"
"2021-02-13","Nets","• Kevin Durant","","activated from IL"
"2021-02-13","Spurs","","• Quinndary Weatherspoon","placed on IL with NBA health and safety protocols"
"2021-02-13","Suns","• Abdel Nader","","returned to lineup"
"2021-02-13","Suns","• Cameron Payne","","activated from IL"
"2021-02-13","Suns","• Dario Saric","","activated from IL"
"2021-02-13","Wizards","","• Ishmael Smith / Ish Smith","placed on IL with strained right quadriceps"
"2021-02-14","Blazers","","• Rodney Hood","placed on IL with sprained left foot"
"2021-02-14","Blazers","• Keljin Blevins","","activated from IL"
"2021-02-14","Celtics","• Kemba Walker","","activated from IL"
"2021-02-14","Celtics","• Robert Williams III","","activated from IL"
"2021-02-14","Clippers","","• Kawhi Leonard","placed on IL with bruised left leg"
"2021-02-14","Grizzlies","• Brandon Clarke","","returned to lineup"
"2021-02-14","Grizzlies","• Sean McDermott","","activated from IL"
"2021-02-14","Hornets","","• Gordon Hayward","sore lower back (DTD)"
"2021-02-14","Hornets","• Jalen McDaniels","","activated from IL"
"2021-02-14","Kings","• De'Aaron Fox","","returned to lineup"
"2021-02-14","Magic","","• James Ennis","strained right groin (DTD)"
"2021-02-14","Nets","","• Kevin Durant","placed on IL with strained left hamstring"
"2021-02-14","Pistons","","• Blake Griffin","placed on IL with left knee injury"
"2021-02-11","Heat","","• Tyler Herro","NBA health and safety protocols (DTD)"
"2021-02-11","Heat","• Maurice Harkless / Moe Harkless","","returned to lineup"
"2021-02-11","Magic","","• Al-Farouq Aminu","right knee injury (DTD)"
"2021-02-11","Magic","","• Cole Anthony","strained right shoulder (DTD)"
"2021-02-11","Pistons","","• Mason Plumlee","placed on IL with right elbow injury"
"2021-02-11","Pistons","• Dennis Smith Jr.","","activated from IL"
"2021-02-11","Rockets","• Victor Oladipo","","activated from IL"
"2021-02-12","Blazers","• C.J. Elleby","","activated from IL"
"2021-02-12","Celtics","","• Kemba Walker","placed on IL with left knee injury"
"2021-02-12","Heat","• Tyler Herro","","returned to lineup"
"2021-02-12","Hornets","","• Caleb Martin","NBA health and safety protocols (DTD)"
"2021-02-12","Hornets","","• Cody Martin","NBA health and safety protocols (DTD)"
"2021-02-12","Hornets","","• Jalen McDaniels","NBA health and safety protocols (DTD)"
"2021-02-12","Hornets","","• P.J. Washington","NBA health and safety protocols (DTD)"
"2021-02-12","Hornets","• Devonte' Graham","","returned to lineup"
"2021-02-12","Kings","","• De'Aaron Fox","bruised left knee (DTD)"
"2021-02-12","Kings","","• Marvin Bagley III","left calf injury (DTD)"
"2021-02-12","Kings","• DaQuan Jeffries","","activated from IL"
"2021-02-12","Lakers","• Alex Caruso","","activated from IL"
"2021-02-12","Lakers","• Anthony Davis","","activated from IL"
"2021-02-12","Lakers","• Jared Dudley","","activated from IL"
"2021-02-12","Magic","","• Frank Mason","placed on IL with right groin injury"
"2021-02-12","Magic","• Michael Carter-Williams","","activated from IL"
"2021-02-12","Pistons","","• Sekou Doumbouya","placed on IL with concussion"
"2021-02-12","Rockets","","• Victor Oladipo","placed on IL with right ankle/foot injury"
"2021-02-09","Knicks","","• Frank Ntilikina","placed on IL with NBA health and safety protocols"
"2021-02-09","Knicks","• Derrick Rose","","activated from IL"
"2021-02-09","Knicks","• Nerlens Noel","","activated from IL"
"2021-02-09","Magic","","• Evan Fournier","placed on IL with lower back spasms"
"2021-02-09","Magic","• Al-Farouq Aminu","","activated from IL"
"2021-02-09","Nets","• Kyrie Irving","","activated from IL"
"2021-02-09","Pistons","","• Dennis Smith Jr.","placed on IL with NBA health and safety protocols"
"2021-02-09","Pistons","","• Frank Jackson","placed on IL with illness"
"2021-02-09","Pistons","• Wayne Ellington","","activated from IL"
"2021-02-09","Rockets","• John Wall (Hildred)","","returned to lineup"
"2021-02-09","Spurs","","• Derrick White","placed on IL with toe injury"
"2021-02-09","Spurs","• Lonnie Walker IV","","activated from IL"
"2021-02-09","Thunder","","• Shai Gilgeous-Alexander","sprained left knee (DTD)"
"2021-02-10","Clippers","• Patrick Beverley","","activated from IL"
